name,lat,lng,Zipcode,Walk Score,Median Income 2012,Population 2012,Black Population 2012,BIPOC Population 2012,% BIPOC 2012,Median Income 2018,Population 2018,Black Population 2018,BIPOC Population 2018,% BIPOC 2018
Cathedral Park,45.57641768898887,-122.74774080646131,97210,79,35374.0,10836.0,213.0,1655.0,15.273163528977483,52450.0,12059.0,302.0,1483.0,12.297868811675928
University Park,45.5749559647032,-122.70795881169612,97217,53,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Piedmont,45.58658733876777,-122.67544970503198,97217,72,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Woodlawn,45.56632637569365,-122.64351587588249,97211,74,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Cully,45.54829038307215,-122.6147122245439,97213,57,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Arbor Lodge,45.577213117595974,-122.67859072730494,97217,77,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Overlook,45.55463890366046,-122.6786671784272,97217,73,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Concordia,45.55543015581583,-122.64195025427607,97211,76,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Parkrose,45.55540271555631,-122.5675206666005,97220,54,23083.0,29397.0,2691.0,8597.0,29.24448072932612,26237.0,30695.0,2672.0,9693.0,31.578432969539012
Parkrose,45.54667022478301,-122.53745729246761,97230,54,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Sumner,45.55540271555631,-122.5675206666005,97220,60,23083.0,29397.0,2691.0,8597.0,29.24448072932612,26237.0,30695.0,2672.0,9693.0,31.578432969539012
Humboldt,45.566434055685,-122.66475344967259,97211,89,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
King,45.54827281993202,-122.6586036766623,97212,89,40395.0,24565.0,1622.0,3384.0,13.775697130063097,46821.0,26699.0,1512.0,4090.0,15.318925802464511
Vernon,45.55768675805183,-122.64290831022151,97211,88,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Northwest Heights,45.52973148563183,-122.76448757189037,97229,12,48168.0,57851.0,732.0,15428.0,26.66851048382915,52012.0,67339.0,1092.0,22493.0,33.40263443175574
Rose City Park,45.541101442888156,-122.59628165155635,97213,76,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Russell,45.533765162369676,-122.51691552225553,97230,36,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Montavilla,45.505384238116164,-122.58526932037098,97206,75,26285.0,47544.0,941.0,9036.0,19.00555275113579,31065.0,51698.0,983.0,10975.0,21.22906108553522
Laurelhurst,45.53164300529418,-122.61730479658982,97213,81,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Kerns,45.52304035405397,-122.66755048276877,97209,93,29754.0,14095.0,794.0,2636.0,18.701667257892872,43873.0,17585.0,788.0,2947.0,16.758601080466306
North Tabor,45.53164300529418,-122.61730479658982,97213,76,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Old Town Chinatown,45.52304035405397,-122.66755048276877,97209,97,29754.0,14095.0,794.0,2636.0,18.701667257892872,43873.0,17585.0,788.0,2947.0,16.758601080466306
Glenfair,45.52642622359427,-122.496955590853,97230,61,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Buckman,45.51931740908355,-122.63709299885616,97214,91,27879.0,24399.0,396.0,2165.0,8.873314480101643,37312.0,26207.0,601.0,3788.0,14.454153470446826
Mt. Tabor,45.523227715702696,-122.59254224350627,97213,69,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Sunnyside,45.51207701491092,-122.63714442111794,97214,91,27879.0,24399.0,396.0,2165.0,8.873314480101643,37312.0,26207.0,601.0,3788.0,14.454153470446826
South Portland,45.468368856275596,-122.67279422845823,97219,68,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Homestead,45.50597030101124,-122.68549575889037,97201,46,23194.0,14744.0,143.0,2270.0,15.396093326098754,25805.0,18145.0,589.0,4272.0,23.543675943786166
Brooklyn,45.49029803003955,-122.62286338292174,97202,82,28996.0,38951.0,838.0,4844.0,12.43613771148366,36132.0,42822.0,631.0,6447.0,15.055345383214236
Hillsdale,45.47170748044723,-122.68047931930714,97219,57,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Mt. Scott-Arleta,45.48287223647189,-122.5789613208015,97206,79,26285.0,47544.0,941.0,9036.0,19.00555275113579,31065.0,51698.0,983.0,10975.0,21.22906108553522
Hayhurst,45.478401568675004,-122.74720896338891,97225,50,37912.0,25684.0,654.0,3636.0,14.156673415355863,42999.0,26117.0,830.0,4065.0,15.564574798024275
Sellwood-Moreland,45.47387757160734,-122.74367703472846,97219,81,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Multnomah,45.467475601151925,-122.72604663697858,97219,68,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Brentwood-Darlington,45.462557922401245,-122.61586200342884,97222,64,26895.0,34608.0,647.0,3143.0,9.081715210355986,30622.0,36988.0,423.0,4294.0,11.60917054179734
South Burlingame,45.463508223560225,-122.69931892398961,97219,62,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Markham,45.449199673103685,-122.71282976013595,97219,41,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Marshall Park,45.4466182444194,-122.68711800669901,97219,27,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Collins View,45.4466182444194,-122.68711800669901,97219,27,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
West Portland Park,45.44035122698608,-122.7272219199328,97219,57,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Arnold Creek,45.43944876534213,-122.7076447489947,97035,21,40434.0,23820.0,107.0,3073.0,12.900923593618806,48275.0,26014.0,275.0,4322.0,16.61413085261782
Far Southwest,45.44588441764875,-122.73339662927705,97219,39,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Linnton,45.58518893125,-122.76460551080572,97203,5,24099.0,30003.0,2909.0,9041.0,30.133653301336533,28363.0,34365.0,2704.0,8041.0,23.398806925651098
Sylvan-Highlands,45.507893346752326,-122.743832672343,97225,18,37912.0,25684.0,654.0,3636.0,14.156673415355863,42999.0,26117.0,830.0,4065.0,15.564574798024275
Arlington Heights,45.51656905063247,-122.69949292137194,97201,35,23194.0,14744.0,143.0,2270.0,15.396093326098754,25805.0,18145.0,589.0,4272.0,23.543675943786166
Ashcreek,45.467338211601245,-122.74880789452605,97223,36,32780.0,46095.0,715.0,7845.0,17.01919947933615,37444.0,49524.0,499.0,7506.0,15.156287860431306
Southwest Hills,45.46467663767927,-122.61589408765751,97206,30,26285.0,47544.0,941.0,9036.0,19.00555275113579,31065.0,51698.0,983.0,10975.0,21.22906108553522
Eastmoreland,45.47920060293069,-122.62267109224697,97202,53,28996.0,38951.0,838.0,4844.0,12.43613771148366,36132.0,42822.0,631.0,6447.0,15.055345383214236
Reed,45.49029803003955,-122.62286338292174,97202,64,28996.0,38951.0,838.0,4844.0,12.43613771148366,36132.0,42822.0,631.0,6447.0,15.055345383214236
Pleasant Valley,45.45379056621977,-122.49697684948418,97086,22,31017.0,25919.0,163.0,6201.0,23.924534125544966,38206.0,31000.0,592.0,7949.0,25.64193548387097
Powellhurst-Gilbert,45.48004393341884,-122.51467524610781,97236,53,21013.0,36217.0,2607.0,10108.0,27.90954524118508,22944.0,40866.0,3099.0,14556.0,35.61885185728968
Hazelwood,45.50420241595718,-122.54802321395734,97216,62,23876.0,15572.0,981.0,4918.0,31.582327254045722,24702.0,16870.0,462.0,4516.0,26.769413159454654
Mill Park,45.50406385361875,-122.52995939704917,97236,70,21013.0,36217.0,2607.0,10108.0,27.90954524118508,22944.0,40866.0,3099.0,14556.0,35.61885185728968
Centennial,45.52646830956079,-122.51060054636952,97230,55,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Madison South,45.53265122366862,-122.56539604495232,97220,56,23083.0,29397.0,2691.0,8597.0,29.24448072932612,26237.0,30695.0,2672.0,9693.0,31.578432969539012
Roseway,45.54181623330587,-122.58342186042901,97213,76,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Beaumont-Wilshire,45.542831415275,-122.6189247303383,97213,77,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Wilkes,45.53385175726229,-122.62536070390317,97232,31,32308.0,11404.0,379.0,1507.0,13.214661522272886,39436.0,12419.0,424.0,2002.0,16.12046058458813
Alameda,45.544655835431854,-122.62607960316718,97212,65,40395.0,24565.0,1622.0,3384.0,13.775697130063097,46821.0,26699.0,1512.0,4090.0,15.318925802464511
Boise,45.54826572811596,-122.66796528883435,97227,92,26325.0,4052.0,609.0,974.0,24.03751233958539,37727.0,4759.0,566.0,1153.0,24.227778945156544
Eliot,45.54827281993202,-122.6586036766623,97212,87,40395.0,24565.0,1622.0,3384.0,13.775697130063097,46821.0,26699.0,1512.0,4090.0,15.318925802464511
Bridlemile,45.481842994509655,-122.71033136926101,97239,42,38417.0,15349.0,249.0,2287.0,14.899993484917584,47684.0,17666.0,528.0,2931.0,16.591192120457375
Irvington,45.491092716012524,-122.69563934283917,97239,83,38417.0,15349.0,249.0,2287.0,14.899993484917584,47684.0,17666.0,528.0,2931.0,16.591192120457375
Sabin,45.528682472340776,-122.65313167175408,97232,83,32308.0,11404.0,379.0,1507.0,13.214661522272886,39436.0,12419.0,424.0,2002.0,16.12046058458813
Richmond,45.50532282659533,-122.60900571263413,97215,90,31765.0,16302.0,548.0,2372.0,14.550361918782972,38774.0,18676.0,166.0,2162.0,11.576354679802956
Lloyd District,45.51954858251791,-122.75581294184028,97229,91,48168.0,57851.0,732.0,15428.0,26.66851048382915,52012.0,67339.0,1092.0,22493.0,33.40263443175574
Goose Hollow,45.51941152387617,-122.72870721059323,97210,93,35374.0,10836.0,213.0,1655.0,15.273163528977483,52450.0,12059.0,302.0,1483.0,12.297868811675928
St. Johns,45.62010040358283,-122.71672391916334,97203,64,24099.0,30003.0,2909.0,9041.0,30.133653301336533,28363.0,34365.0,2704.0,8041.0,23.398806925651098
Portsmouth,45.58472412363434,-122.70794640147047,97217,63,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Northwest District,45.60239197374042,-122.65703985797467,97217,93,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
East Columbia,45.59947863270277,-122.66015444372715,97211,16,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
